Date,Open,High,Low,Close,Volume
2022-03-07,0.0,10.0,10.0,9.46,0.0
2022-03-17,8.9,9.46,8.9,8.9,500.0
2022-03-22,7.99,8.0,7.99,8.0,1000.0
2022-03-24,7.0,7.0,7.0,7.0,1000.0
2022-03-31,0.0,0.0,0.0,7.01,0.0
2022-04-25,6.01,6.01,6.01,6.01,1500.0
2022-05-26,5.4,5.4,5.4,5.4,1000.0
2022-05-31,6.2,6.2,6.2,6.2,1000.0
2022-06-06,6.0,6.0,6.0,6.0,500.0
2022-06-16,5.0,5.0,5.0,5.0,9500.0
2022-06-17,5.2,5.2,5.2,5.2,500.0
2022-06-23,5.5,5.5,5.32,5.5,1000.0
2022-07-01,4.5,4.99,4.5,4.83,10000.0
2022-07-14,4.9,4.9,4.9,4.9,500.0
2022-07-18,5.2,5.2,5.2,5.2,500.0
2022-07-27,5.2,5.2,5.2,5.2,2000.0
2022-08-04,6.19,6.19,6.19,6.19,500.0
