Date,Open,High,Low,Close,Volume
2017-06-20,23.55,23.55,23.55,23.55,3000.0
2017-06-21,0.0,22.41,0.0,22.41,0.0
2017-06-22,21.29,21.29,21.29,21.29,1000.0
2017-06-29,0.0,20.48,0.0,20.48,0.0
2017-06-30,19.46,20.5,19.46,19.46,60000.0
2017-07-03,18.46,18.7,18.46,18.46,47500.0
2017-07-04,17.46,19.45,17.46,17.53,272000.0
2017-07-05,18.43,18.53,18.43,18.53,87500.0
2017-07-06,19.53,19.53,19.0,19.53,47500.0
2017-07-07,20.53,20.53,20.41,20.53,98500.0
2017-07-10,20.2,20.8,19.51,19.53,55000.0
2017-07-11,18.53,18.54,18.53,18.54,1000.0
2017-07-12,17.54,17.61,17.54,17.54,61000.0
2017-07-13,16.8,18.54,16.8,18.54,165500.0
2017-07-14,19.0,19.54,18.61,19.54,89000.0
2017-07-17,20.0,20.54,19.99,20.54,49000.0
2017-07-18,21.56,21.56,21.56,21.56,3000.0
2017-07-19,22.63,22.63,22.6,22.63,58000.0
2017-07-20,23.76,23.76,22.0,23.76,128500.0
2017-07-21,24.94,24.94,23.41,24.91,194000.0
2017-07-24,25.25,25.3,23.9,24.06,132500.0
2017-07-25,23.8,23.8,22.86,22.86,29000.0
2017-07-26,21.72,24.0,21.72,24.0,193000.0
2017-07-27,24.5,24.88,23.15,23.27,61000.0
2017-07-28,22.11,23.0,22.11,22.2,42500.0
